Word
마그네슘
비타민D
비타민K
아연
열량
탄수화물
단백질
지방
나트륨
칼슘
건강기능식품유통전문판매원
건강기능식품전문제조원
유통전문판매원
프로바이오틱스
망간
구리
베타카로틴
엽산
나이아신
마리골드꽃추출물
루테인
[칼슘
[마그네슘
[비타민
나트
건강기능식품우동전도판매
건강기능식품전문제조인
",엽산"
----------
프랑스산
러시아
헝가리
세르비아
제조원
판매원
내포장재질
(프랑스산)
인도산
스페인산
스위스산
