잘못된 표현,올바른 표현
0mg, 
1mg, 
2mg, 
3mg, 
4mg, 
5mg, 
6mg, 
7mg, 
8mg, 
9mg, 
0g, 
1g, 
2g, 
3g, 
4g, 
5g, 
6g, 
7g, 
8g, 
9g, 
0%, 
1%, 
2%, 
3%, 
4%, 
5%, 
6%, 
7%, 
8%, 
9%, 
